motherboard_name,motherboard_brand,motherboard_color,motherboard_supported_ram_type,motherboard_price,motherboard_value,ram_name,ram_brand,ram_color,ram_type,ram_rgb,ram_price,ram_value,total_price,total_value,score
ASUS X670 AM5 ATX MB-0308,ASUS,silver,DDR3,300,89,Patriot DDR3 8GB 6400MHz 1x RAM-0112,Patriot,white,DDR3,no,340,66,640,155,95.205
ASRock B650 LGA1700 Mini-ITX MB-0737,ASRock,black,DDR3,301,77,Patriot DDR3 8GB 6400MHz 1x RAM-0112,Patriot,white,DDR3,no,340,66,641,143,95.205
Biostar B650 LGA1700 mATX MB-0048,Biostar,silver,DDR3,310,78,Patriot DDR3 8GB 6400MHz 1x RAM-0112,Patriot,white,DDR3,no,340,66,650,144,95.205
Gigabyte Z790 LGA1700 Mini-ITX MB-0983,Gigabyte,black,DDR3,311,70,Patriot DDR3 8GB 6400MHz 1x RAM-0112,Patriot,white,DDR3,no,340,66,651,136,95.205
Biostar B760 AM5 mATX MB-0788,Biostar,gray,DDR4,300,47,Crucial DDR4 8GB 6400MHz 1x RAM-0940,Crucial,gray,DDR4,no,355,91,655,138,95.205
Biostar B760 AM5 ATX MB-0712,Biostar,silver,DDR4,305,97,Crucial DDR4 8GB 6400MHz 1x RAM-0940,Crucial,gray,DDR4,no,355,91,660,188,95.205
ASUS X670 LGA1700 mATX MB-0364,ASUS,silver,DDR4,306,81,Crucial DDR4 8GB 6400MHz 1x RAM-0940,Crucial,gray,DDR4,no,355,91,661,172,95.205
Biostar X670 LGA1700 Mini-ITX MB-0803,Biostar,gray,DDR4,307,46,Crucial DDR4 8GB 6400MHz 1x RAM-0940,Crucial,gray,DDR4,no,355,91,662,137,95.205
MSI X670 LGA1700 mATX MB-0197,MSI,silver,DDR3,324,61,Patriot DDR3 8GB 6400MHz 1x RAM-0112,Patriot,white,DDR3,no,340,66,664,127,95.205
ASUS X670 AM5 ATX MB-0308,ASUS,silver,DDR3,300,89,G.SKILL DDR3 8GB 6400MHz 2x RAM-0442,G.SKILL,black,DDR3,yes,365,86,665,175,95.205
